2018-10-26 15:16:20.562 [main] INFO  org.mongodb.driver.cluster - Adding discovered server dds-wz9d2c8d85a85f84-pub.mongodb.rds.aliyuncs.com:3717 to client view of cluster
2018-10-26 15:16:20.920 [cluster-ClusterId{value='5bd2bf44e64d828a1874d657', description='null'}-dds-wz9d2c8d85a85f84-pub.mongodb.rds.aliyuncs.com:3717] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:303158}] to dds-wz9d2c8d85a85f84-pub.mongodb.rds.aliyuncs.com:3717
2018-10-26 15:16:20.952 [cluster-ClusterId{value='5bd2bf44e64d828a1874d657', description='null'}-dds-wz9d2c8d85a85f84-pub.mongodb.rds.aliyuncs.com:3717] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=dds-wz9d2c8d85a85f84-pub.mongodb.rds.aliyuncs.com:3717, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 4, 6]}, minWireVersion=0, maxWireVersion=5, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=null, roundTripTimeNanos=28225334}
2018-10-26 15:16:20.953 [cluster-ClusterId{value='5bd2bf44e64d828a1874d657', description='null'}-dds-wz9d2c8d85a85f84-pub.mongodb.rds.aliyuncs.com:3717] INFO  org.mongodb.driver.cluster - Discovered cluster type of STANDALONE
2018-10-26 15:16:27.675 [main] INFO  c.a.druid.pool.DruidDataSource - {dataSource-1} inited
2018-10-26 15:16:27.763 [main] INFO  com.net.server.GameServer - init spring container success. 
2018-10-26 15:16:27.775 [main] INFO  c.n.s.config.DefaultConfigLoader - Loading: config/core.xml
2018-10-26 15:16:27.987 [main] INFO  com.net.server.core.SFSEventManager -  initalized
2018-10-26 15:16:28.003 [main] INFO  com.net.server.GameServer - Protocol Type is: BINARY
2018-10-26 15:16:28.004 [main] INFO  c.n.s.config.DefaultConfigLoader - Loading: zones\BasicExamples.zone.xml
2018-10-26 15:16:28.015 [main] INFO  com.net.engine.core.NetEngine - NetWorkServer 1X
2018-10-26 15:16:28.018 [main] INFO  com.net.engine.core.NetEngine - BitSwarmEngine version: 3.30.1 { main }
2018-10-26 15:16:28.025 [main] INFO  com.net.engine.core.NetEngine - Session manager ready: com.net.engine.sessions.DefaultSessionManager@5a02bfe3
2018-10-26 15:16:28.281 [main] INFO  com.net.engine.core.SocketAcceptor - 成功绑定端口192.168.2.122:9934
2018-10-26 15:16:28.283 [main] INFO  bootLogger - Controller started: com.net.server.controllers.SystemReqController 
2018-10-26 15:16:28.283 [main] INFO  bootLogger - Controller started: com.net.server.controllers.ExtensionReqController 
2018-10-26 15:16:28.283 [Scheduler1-thread-1] INFO  bootLogger - Scheduler started: scheduler
2018-10-26 15:16:28.285 [main] INFO  bootLogger - Socket Writer started (pool size:1)
2018-10-26 15:16:28.288 [main] INFO  bootLogger - Security Manager started
2018-10-26 15:16:28.290 [main] INFO  com.net.engine.core.NetEngine - [[[ ===--- Boot sequence complete ---=== ]]]
2018-10-26 15:16:28.291 [nettyDefaultEventExecutorGroup-2-2] INFO  com.net.server.GameServer - Listening Sockets: 
2018-10-26 15:16:28.292 [nettyDefaultEventExecutorGroup-2-2] INFO  com.net.server.GameServer - SmartFoxServer 2X (1.0.0) READY!
2018-10-26 15:16:28.334 [nioEventLoopGroup-4-1] INFO  c.n.e.s.DefaultSessionManager - Session created: { Id: 1, Type: DEFAULT, Logged: No, IP: 27.0.0.1/127.0.0.1:65358 } on Server port: 9934 <---> 65358
2018-10-26 15:16:28.566 [nettyDefaultEventExecutorGroup-2-3] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:303159}] to dds-wz9d2c8d85a85f84-pub.mongodb.rds.aliyuncs.com:3717
2018-10-26 15:16:28.906 [nettyDefaultEventExecutorGroup-2-3] INFO  c.n.b.basedata.BaseDataManager - ==============加载静态数据成功===============
2018-10-26 15:22:49.150 [nettyDefaultEventExecutorGroup-2-4] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2, serverValue:303159}] to dds-wz9d2c8d85a85f84-pub.mongodb.rds.aliyuncs.com:3717 because there was a socket exception raised by this connection.
2018-10-26 15:22:49.211 [nettyDefaultEventExecutorGroup-2-4] INFO  com.net.server.api.GameApi - Login error: Timeout while receiving message; nested exception is com.mongodb.MongoSocketReadTimeoutException: Timeout while receiving message. Requested by: { Id: 1, Type: DEFAULT, Logged: No, IP: 27.0.0.1/127.0.0.1:65358 }
2018-10-26 15:23:35.358 [nettyDefaultEventExecutorGroup-2-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:303188}] to dds-wz9d2c8d85a85f84-pub.mongodb.rds.aliyuncs.com:3717
2018-10-26 15:23:35.406 [nettyDefaultEventExecutorGroup-2-1] INFO  com.net.server.entities.GameZone - 用户{0}登录成功
2018-10-26 15:23:35.406 [nettyDefaultEventExecutorGroup-2-1] INFO  com.net.server.api.GameApi - User login: ( User Name: 小砖头, Id: 2, Priv: 0, Sess:  ) 
2018-10-26 15:23:35.440 [nettyDefaultEventExecutorGroup-2-3] INFO  c.n.s.e.managers.GameRoomManager - Room created: com.net.server.entities.GameZone@a179a8b, [ Room: 好友房100000, Id: 100000, Group: default, isGame: false ]
2018-10-26 15:23:35.442 [nettyDefaultEventExecutorGroup-2-3] INFO  com.net.server.api.GameApi - Room joined: [ Room: 好友房100000, Id: 100000, Group: default, isGame: false ], ( User Name: 小砖头, Id: 2, Priv: 0, Sess:  ) , asSpect: false
2018-10-26 15:25:17.276 [main] INFO  com.net.server.GameServer - Boot sequence starts...
2018-10-26 15:25:17.381 [main] INFO  o.s.c.s.ClassPathXmlApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@fba92d3: startup date [Fri Oct 26 15:25:17 CST 2018]; root of context hierarchy
2018-10-26 15:25:17.417 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/applicationContext.xml]
2018-10-26 15:25:17.701 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-redis.xml]
2018-10-26 15:25:17.763 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-mongo.xml]
2018-10-26 15:25:17.982 [main] INFO  o.s.b.f.c.PropertyPlaceholderConfigurer - Loading properties file from class path resource [config.properties]
2018-10-26 15:25:18.679 [main] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[dds-wz9d2c8d85a85f84-pub.mongodb.rds.aliyuncs.com:3717], mode=MULTIPLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=2000}
2018-10-26 15:25:18.679 [main] INFO  org.mongodb.driver.cluster - Adding discovered server dds-wz9d2c8d85a85f84-pub.mongodb.rds.aliyuncs.com:3717 to client view of cluster
2018-10-26 15:25:19.044 [cluster-ClusterId{value='5bd2c15ee64d8292f03e7c65', description='null'}-dds-wz9d2c8d85a85f84-pub.mongodb.rds.aliyuncs.com:3717] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:303195}] to dds-wz9d2c8d85a85f84-pub.mongodb.rds.aliyuncs.com:3717
2018-10-26 15:25:19.078 [cluster-ClusterId{value='5bd2c15ee64d8292f03e7c65', description='null'}-dds-wz9d2c8d85a85f84-pub.mongodb.rds.aliyuncs.com:3717] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=dds-wz9d2c8d85a85f84-pub.mongodb.rds.aliyuncs.com:3717, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 4, 6]}, minWireVersion=0, maxWireVersion=5, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=null, roundTripTimeNanos=32498487}
